91;100;26.77
91;200;26.32
91;300;26.05
91;400;25.34
91;500;25.15
91;600;25.39
91;700;27.38
91;800;28.83
91;900;30.49
91;1000;31.11
91;1100;32.84
91;1200;34.40
91;1300;34.16
91;1400;35.71
91;1500;34.89
91;1600;34.88
91;1700;34.12
91;1800;31.50
91;1900;28.96
91;2000;28.79
91;2100;27.40
91;2200;26.88
91;2300;26.33
91;2400;26.29
92;100;25.98
92;200;25.90
92;300;25.93
92;400;25.54
92;500;24.74
92;600;25.06
92;700;26.39
92;800;27.60
92;900;29.43
92;1000;32.09
92;1100;33.58
92;1200;33.67
92;1300;34.03
92;1400;35.13
92;1500;34.26
92;1600;34.69
92;1700;34.05
92;1800;30.47
92;1900;29.19
92;2000;27.93
92;2100;26.99
92;2200;26.60
92;2300;26.19
92;2400;26.02
93;100;25.61
93;200;25.09
93;300;25.41
93;400;25.09
93;500;23.82
93;600;24.17
93;700;26.60
93;800;27.55
93;900;29.54
93;1000;30.44
93;1100;32.31
93;1200;31.93
93;1300;34.31
93;1400;34.04
93;1500;33.61
93;1600;34.17
93;1700;33.20
93;1800;30.97
93;1900;28.02
93;2000;29.11
93;2100;27.93
93;2200;27.25
93;2300;26.81
93;2400;26.80
94;100;26.61
94;200;26.31
94;300;25.88
94;400;25.37
94;500;25.31
94;600;25.43
94;700;25.38
94;800;25.86
94;900;28.57
94;1000;29.38
94;1100;29.66
94;1200;29.22
94;1300;29.37
94;1400;31.22
94;1500;30.75
94;1600;31.09
94;1700;29.80
94;1800;28.00
94;1900;27.66
94;2000;27.02
94;2100;26.04
94;2200;26.09
94;2300;26.07
94;2400;25.71
95;100;26.19
95;200;26.01
95;300;25.83
95;400;24.75
95;500;24.46
95;600;25.37
95;700;26.48
95;800;27.95
95;900;29.19
95;1000;31.60
95;1100;31.35
95;1200;32.92
95;1300;33.12
95;1400;34.34
95;1500;33.14
95;1600;34.11
95;1700;32.56
95;1800;31.03
95;1900;29.35
95;2000;28.06
95;2100;27.15
95;2200;26.55
95;2300;26.13
95;2400;25.99
96;100;25.52
96;200;24.59
96;300;25.12
96;400;25.43
96;500;25.51
96;600;25.54
96;700;27.09
96;800;28.28
96;900;30.16
96;1000;30.50
96;1100;31.42
96;1200;32.71
96;1300;34.14
96;1400;35.19
96;1500;35.57
96;1600;34.70
96;1700;34.11
96;1800;30.09
96;1900;29.17
96;2000;28.15
96;2100;27.26
96;2200;26.90
96;2300;26.36
96;2400;26.87
97;100;26.14
97;200;25.99
97;300;25.90
97;400;25.00
97;500;23.86
97;600;23.96
97;700;27.37
97;800;28.08
97;900;30.19
97;1000;31.87
97;1100;33.59
97;1200;33.45
97;1300;36.25
97;1400;35.28
97;1500;35.47
97;1600;35.96
97;1700;34.80
97;1800;33.02
97;1900;30.85
97;2000;28.66
97;2100;27.88
97;2200;27.13
97;2300;26.54
97;2400;26.24
98;100;26.03
98;200;26.01
98;300;26.21
98;400;25.74
98;500;24.48
98;600;24.39
98;700;26.82
98;800;29.27
98;900;29.30
98;1000;30.84
98;1100;32.62
98;1200;32.59
98;1300;35.11
98;1400;34.43
98;1500;35.11
98;1600;30.83
98;1700;28.68
98;1800;27.89
98;1900;27.17
98;2000;28.25
98;2100;28.07
98;2200;27.44
98;2300;26.77
98;2400;26.33
99;100;26.33
99;200;26.00
99;300;25.62
99;400;25.61
99;500;25.83
99;600;25.94
99;700;26.99
99;800;26.52
99;900;27.17
99;1000;29.94
99;1100;30.36
99;1200;29.72
99;1300;31.79
99;1400;32.59
99;1500;30.28
99;1600;29.99
99;1700;29.81
99;1800;28.67
99;1900;27.15
99;2000;27.17
99;2100;26.50
99;2200;26.35
99;2300;26.10
99;2400;25.65
100;100;25.29
100;200;25.20
100;300;24.90
100;400;24.79
100;500;25.01
100;600;25.14
100;700;26.72
100;800;28.92
100;900;30.16
100;1000;31.14
100;1100;32.68
100;1200;33.02
100;1300;34.06
100;1400;34.96
100;1500;34.99
100;1600;34.07
100;1700;31.75
100;1800;31.35
100;1900;30.12
100;2000;28.73
100;2100;27.81
100;2200;27.51
100;2300;27.12
100;2400;26.68
101;100;25.99
101;200;26.04
101;300;25.55
101;400;24.52
101;500;24.44
101;600;24.63
101;700;27.19
101;800;29.17
101;900;31.15
101;1000;31.96
101;1100;32.98
101;1200;34.92
101;1300;35.87
101;1400;36.64
101;1500;35.49
101;1600;35.30
101;1700;34.68
101;1800;32.12
101;1900;30.53
101;2000;29.81
101;2100;28.58
101;2200;27.83
101;2300;27.26
101;2400;26.94
102;100;26.93
102;200;26.92
102;300;26.47
102;400;26.16
102;500;26.72
102;600;26.63
102;700;27.70
102;800;29.33
102;900;30.46
102;1000;32.57
102;1100;34.11
102;1200;33.74
102;1300;34.95
102;1400;35.26
102;1500;36.81
102;1600;36.09
102;1700;35.04
102;1800;31.98
102;1900;30.26
102;2000;28.92
102;2100;27.82
102;2200;27.16
102;2300;27.00
102;2400;26.63
103;100;26.34
103;200;26.48
103;300;25.98
103;400;25.11
103;500;25.38
103;600;25.76
103;700;27.84
103;800;29.72
103;900;31.33
103;1000;32.34
103;1100;33.79
103;1200;34.05
103;1300;35.55
103;1400;35.04
103;1500;35.46
103;1600;35.12
103;1700;34.43
103;1800;31.40
103;1900;29.88
103;2000;28.58
103;2100;27.59
103;2200;27.12
103;2300;26.65
103;2400;26.16
104;100;25.42
104;200;24.66
104;300;23.65
104;400;23.44
104;500;22.64
104;600;23.00
104;700;26.53
104;800;28.45
104;900;31.20
104;1000;32.16
104;1100;33.59
104;1200;34.73
104;1300;36.42
104;1400;36.68
104;1500;36.95
